battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
1088.0,1.0,3.0,1.0,2.0,1.0,52.0,0.3,164.0,7.0,4.0,86.0,588.0,1447.0,19.0,16,15,1,1,1
1503.0,1.0,0.7,0.0,10.0,1.0,43.0,0.2,166.0,4.0,14.0,841.0,1304.0,2122.0,15.0,1,2,1,0,0
614.0,0.0,2.9,1.0,3.0,1.0,24.0,0.2,94.0,4.0,7.0,409.0,603.0,1930.0,13.0,12,4,1,0,1
1035.0,1.0,2.7,0.0,1.0,0.0,40.0,0.2,157.0,5.0,15.0,757.0,1912.0,3548.0,14.0,4,5,0,1,1
553.0,1.0,0.5,1.0,2.0,1.0,8.0,0.5,153.0,4.0,3.0,525.0,1601.0,1042.0,15.0,11,15,1,0,1
797.0,1.0,1.5,1.0,4.0,0.0,18.0,0.6,81.0,8.0,20.0,888.0,1466.0,2052.0,9.0,3,14,1,1,1
761.0,1.0,0.5,0.0,4.0,1.0,5.0,0.8,181.0,1.0,17.0,562.0,829.0,3111.0,5.0,3,14,1,0,0
722.0,0.0,1.1,0.0,12.0,0.0,12.0,1.0,93.0,6.0,20.0,138.0,1371.0,2359.0,13.0,6,3,0,0,0
645.0,1.0,2.9,1.0,3.0,0.0,5.0,0.1,185.0,3.0,6.0,446.0,1573.0,1315.0,11.0,1,4,1,0,0
984.0,1.0,2.2,1.0,0.0,1.0,39.0,0.5,119.0,8.0,18.0,56.0,1931.0,2013.0,11.0,7,16,1,1,0
1345.0,1.0,3.0,0.0,7.0,1.0,38.0,0.1,162.0,3.0,11.0,512.0,1465.0,1322.0,9.0,2,15,1,0,0
1981.0,0.0,2.9,1.0,2.0,1.0,11.0,0.3,184.0,8.0,13.0,876.0,1408.0,2383.0,11.0,2,18,1,0,0
1856.0,0.0,0.5,1.0,0.0,1.0,24.0,0.1,155.0,5.0,1.0,277.0,1155.0,2052.0,17.0,6,10,1,1,0
690.0,0.0,0.5,0.0,2.0,0.0,62.0,0.3,88.0,1.0,9.0,633.0,1240.0,3206.0,16.0,10,19,1,0,0
1218.0,0.0,1.8,1.0,1.0,1.0,14.0,0.5,147.0,3.0,4.0,229.0,616.0,398.0,17.0,0,5,1,0,0
688.0,1.0,1.5,0.0,0.0,0.0,2.0,1.0,89.0,3.0,2.0,271.0,869.0,391.0,5.0,2,8,1,1,1
1166.0,0.0,2.0,0.0,3.0,1.0,25.0,0.8,198.0,5.0,4.0,59.0,1203.0,2488.0,13.0,5,15,1,0,0
1802.0,1.0,1.2,1.0,8.0,0.0,27.0,0.5,116.0,5.0,16.0,453.0,963.0,1885.0,10.0,9,7,1,1,0
885.0,0.0,2.3,1.0,0.0,1.0,15.0,0.4,103.0,7.0,0.0,769.0,802.0,1410.0,16.0,10,5,1,1,1
1772.0,1.0,1.6,0.0,17.0,1.0,45.0,0.5,159.0,2.0,18.0,837.0,1405.0,1146.0,6.0,1,17,1,1,0
1314.0,1.0,2.8,1.0,13.0,1.0,5.0,1.0,87.0,4.0,18.0,82.0,512.0,3411.0,17.0,16,18,1,0,0
1478.0,1.0,0.8,1.0,12.0,0.0,48.0,0.7,99.0,5.0,17.0,694.0,882.0,1141.0,5.0,2,6,0,0,1
1454.0,0.0,1.4,1.0,8.0,0.0,37.0,0.8,80.0,8.0,20.0,903.0,910.0,1713.0,16.0,0,19,0,0,0
1949.0,0.0,1.8,0.0,0.0,0.0,20.0,0.8,186.0,5.0,4.0,518.0,592.0,1125.0,17.0,10,9,0,0,0
1541.0,0.0,1.6,0.0,1.0,1.0,7.0,0.5,143.0,8.0,14.0,287.0,1791.0,3137.0,9.0,0,11,1,1,0
1275.0,1.0,0.5,1.0,3.0,1.0,5.0,0.2,152.0,1.0,9.0,19.0,501.0,3784.0,13.0,4,4,1,1,0
798.0,0.0,0.6,1.0,6.0,1.0,21.0,0.5,110.0,2.0,12.0,661.0,1951.0,1647.0,12.0,2,3,1,0,0
1038.0,0.0,1.2,0.0,3.0,0.0,43.0,0.7,141.0,1.0,5.0,4.0,638.0,3709.0,11.0,0,12,1,1,1
1919.0,0.0,1.5,0.0,5.0,1.0,48.0,0.8,150.0,4.0,6.0,304.0,1191.0,1391.0,19.0,13,12,1,0,1
1986.0,0.0,2.7,1.0,3.0,1.0,64.0,0.2,162.0,4.0,20.0,236.0,1520.0,1377.0,5.0,3,15,1,1,1
1175.0,1.0,2.1,0.0,3.0,0.0,33.0,0.9,124.0,6.0,8.0,119.0,1777.0,1617.0,5.0,3,7,0,0,1
521.0,1.0,2.6,1.0,1.0,1.0,64.0,0.8,200.0,4.0,11.0,575.0,1089.0,834.0,6.0,5,12,1,1,1
907.0,1.0,2.7,0.0,8.0,0.0,53.0,0.7,156.0,2.0,13.0,10.0,1881.0,3469.0,8.0,5,12,1,0,0
859.0,0.0,1.1,1.0,11.0,1.0,19.0,0.5,139.0,5.0,16.0,952.0,1713.0,2473.0,10.0,4,17,1,1,1
794.0,0.0,2.5,1.0,15.0,0.0,14.0,0.6,197.0,3.0,19.0,312.0,1376.0,2171.0,19.0,8,18,0,0,1
664.0,1.0,2.9,0.0,10.0,1.0,40.0,0.1,173.0,5.0,15.0,1002.0,1260.0,3366.0,8.0,4,5,1,1,0
1470.0,1.0,1.7,1.0,6.0,0.0,45.0,0.1,121.0,1.0,9.0,777.0,1090.0,3259.0,10.0,1,14,1,0,1
1519.0,0.0,1.5,0.0,12.0,0.0,43.0,0.1,183.0,1.0,14.0,868.0,1637.0,853.0,5.0,0,7,0,1,1
1139.0,1.0,0.9,1.0,6.0,1.0,58.0,0.5,161.0,2.0,11.0,742.0,999.0,1850.0,9.0,4,8,1,0,0
1062.0,0.0,0.5,0.0,3.0,1.0,39.0,0.9,124.0,4.0,4.0,571.0,817.0,1345.0,16.0,0,11,1,0,1
1429.0,1.0,1.0,0.0,7.0,0.0,11.0,0.7,150.0,4.0,8.0,436.0,813.0,1955.0,7.0,5,2,1,1,0
1844.0,1.0,2.3,1.0,1.0,0.0,51.0,0.7,158.0,8.0,3.0,533.0,882.0,,5.0,1,14,0,1,1
881.0,1.0,0.8,1.0,5.0,0.0,6.0,0.4,117.0,6.0,12.0,814.0,1015.0,2813.0,18.0,1,17,1,0,1
574.0,1.0,1.0,1.0,4.0,1.0,60.0,0.1,139.0,2.0,7.0,924.0,1498.0,2913.0,14.0,0,9,1,0,0
1770.0,0.0,2.6,0.0,12.0,0.0,26.0,0.5,80.0,1.0,17.0,98.0,1724.0,1651.0,18.0,6,14,0,0,0
1010.0,0.0,0.7,1.0,4.0,1.0,28.0,0.5,195.0,8.0,5.0,117.0,841.0,3302.0,14.0,2,7,1,1,0
569.0,1.0,2.5,1.0,0.0,0.0,41.0,0.3,124.0,1.0,1.0,388.0,605.0,2651.0,17.0,7,4,0,0,0
1562.0,1.0,1.2,1.0,0.0,1.0,52.0,0.1,105.0,7.0,9.0,480.0,728.0,2829.0,13.0,10,3,1,1,1
1394.0,1.0,0.9,1.0,10.0,1.0,62.0,0.3,175.0,5.0,13.0,1010.0,1565.0,473.0,11.0,1,20,1,1,0
1065.0,1.0,0.5,0.0,0.0,1.0,14.0,0.7,89.0,2.0,2.0,188.0,928.0,3078.0,10.0,1,18,1,0,1
1762.0,1.0,2.7,1.0,13.0,1.0,25.0,0.9,189.0,1.0,14.0,300.0,527.0,1896.0,14.0,10,20,1,1,1
591.0,1.0,0.5,1.0,1.0,1.0,16.0,0.9,90.0,6.0,17.0,892.0,1603.0,3746.0,5.0,0,5,1,1,0
1610.0,1.0,2.9,0.0,7.0,1.0,64.0,0.9,181.0,4.0,12.0,1236.0,1280.0,941.0,8.0,4,9,1,1,0
1686.0,1.0,2.8,1.0,3.0,0.0,38.0,0.1,166.0,4.0,4.0,397.0,1453.0,2958.0,14.0,11,2,0,0,0
1425.0,0.0,1.2,0.0,9.0,1.0,35.0,0.7,127.0,8.0,14.0,150.0,1897.0,590.0,13.0,2,6,1,1,1
775.0,1.0,2.6,0.0,0.0,0.0,30.0,0.4,189.0,7.0,10.0,561.0,1510.0,2523.0,17.0,16,9,1,0,1
1737.0,1.0,2.0,1.0,0.0,0.0,14.0,0.4,156.0,5.0,2.0,1028.0,1757.0,2363.0,8.0,0,10,1,0,1
1812.0,1.0,1.3,1.0,4.0,1.0,42.0,1.0,162.0,7.0,15.0,380.0,1550.0,3338.0,18.0,13,11,1,1,1
1689.0,0.0,1.8,0.0,17.0,0.0,24.0,0.3,127.0,3.0,18.0,954.0,1200.0,2766.0,7.0,2,7,0,1,1
508.0,0.0,1.6,1.0,0.0,0.0,9.0,0.4,162.0,6.0,2.0,1419.0,1920.0,2616.0,18.0,8,10,1,1,1
1006.0,1.0,2.5,1.0,9.0,0.0,14.0,0.7,186.0,1.0,12.0,348.0,640.0,1955.0,17.0,6,9,1,1,0
1614.0,0.0,1.2,0.0,1.0,1.0,9.0,0.1,161.0,3.0,2.0,173.0,1219.0,1832.0,15.0,8,11,1,0,0
1472.0,0.0,0.5,0.0,3.0,1.0,53.0,0.7,103.0,1.0,4.0,438.0,690.0,2001.0,14.0,0,14,1,1,1
1159.0,0.0,2.7,0.0,13.0,1.0,28.0,0.2,80.0,8.0,18.0,378.0,751.0,2495.0,10.0,0,9,1,1,1
623.0,1.0,0.5,1.0,5.0,1.0,29.0,0.9,134.0,3.0,10.0,273.0,1814.0,717.0,12.0,5,13,1,0,0
557.0,0.0,0.5,0.0,0.0,1.0,23.0,0.5,197.0,5.0,1.0,1264.0,1682.0,3170.0,12.0,2,7,1,1,0
714.0,1.0,2.1,1.0,5.0,1.0,11.0,0.1,197.0,3.0,6.0,1750.0,1857.0,1164.0,15.0,12,19,1,1,0
709.0,1.0,2.0,1.0,0.0,0.0,35.0,0.1,136.0,1.0,0.0,1545.0,1596.0,1973.0,12.0,9,16,0,1,1
1083.0,1.0,1.4,1.0,2.0,1.0,49.0,0.8,156.0,5.0,9.0,295.0,503.0,1338.0,16.0,8,5,1,1,1
685.0,0.0,0.5,0.0,2.0,0.0,29.0,0.8,93.0,7.0,10.0,433.0,648.0,728.0,14.0,8,4,0,0,1
1178.0,1.0,1.1,1.0,0.0,1.0,11.0,0.5,98.0,2.0,1.0,1549.0,1661.0,2106.0,17.0,10,4,1,0,1
668.0,0.0,0.5,1.0,0.0,0.0,3.0,0.1,155.0,5.0,13.0,666.0,1203.0,2746.0,9.0,5,8,1,1,1
1832.0,1.0,0.7,0.0,7.0,0.0,44.0,0.3,125.0,2.0,17.0,495.0,596.0,2976.0,19.0,3,9,0,0,0
603.0,1.0,2.5,1.0,3.0,0.0,35.0,0.7,126.0,3.0,16.0,692.0,1057.0,3703.0,13.0,1,9,0,0,1
1469.0,0.0,0.5,0.0,3.0,1.0,58.0,0.5,150.0,7.0,8.0,1699.0,1850.0,1571.0,17.0,16,2,1,0,0
1981.0,0.0,0.5,0.0,3.0,0.0,38.0,0.2,103.0,5.0,10.0,282.0,1051.0,1392.0,5.0,0,11,0,0,0
697.0,0.0,2.7,1.0,5.0,1.0,20.0,0.4,173.0,2.0,6.0,478.0,1477.0,259.0,12.0,6,4,1,1,1
1368.0,1.0,1.6,1.0,4.0,0.0,9.0,0.1,115.0,7.0,7.0,843.0,1145.0,2941.0,13.0,12,17,0,1,0
1128.0,1.0,1.1,0.0,,1.0,46.0,0.9,135.0,8.0,10.0,751.0,1582.0,1434.0,5.0,0,11,1,0,0
1987.0,1.0,1.9,0.0,0.0,0.0,50.0,0.7,119.0,8.0,18.0,960.0,1925.0,,12.0,4,6,1,1,0
1166.0,1.0,0.5,0.0,7.0,0.0,59.0,0.5,80.0,1.0,11.0,437.0,638.0,3887.0,8.0,6,7,1,0,1
1371.0,0.0,2.8,1.0,2.0,1.0,19.0,0.6,94.0,4.0,3.0,1023.0,1676.0,1767.0,6.0,1,8,1,0,1
1077.0,0.0,2.5,1.0,0.0,1.0,45.0,1.0,174.0,3.0,4.0,897.0,1304.0,1965.0,6.0,2,6,1,1,0
1307.0,1.0,0.5,0.0,0.0,1.0,4.0,0.3,132.0,4.0,1.0,82.0,1236.0,2565.0,8.0,4,19,1,1,1
1697.0,0.0,0.5,0.0,0.0,1.0,60.0,0.1,90.0,4.0,0.0,88.0,1046.0,441.0,15.0,1,11,1,1,0
957.0,1.0,0.7,0.0,0.0,1.0,4.0,0.1,160.0,2.0,0.0,38.0,1682.0,1898.0,12.0,4,3,1,1,0
1715.0,1.0,0.5,1.0,1.0,1.0,18.0,0.1,96.0,6.0,3.0,674.0,1375.0,2598.0,17.0,2,3,1,0,0
1588.0,0.0,0.5,0.0,0.0,1.0,61.0,0.8,159.0,1.0,13.0,1064.0,1594.0,3272.0,18.0,0,17,1,1,0
1900.0,0.0,1.4,0.0,0.0,0.0,41.0,0.4,112.0,8.0,1.0,342.0,778.0,3611.0,14.0,1,6,1,0,0
1549.0,1.0,1.5,1.0,0.0,1.0,27.0,0.4,113.0,5.0,7.0,632.0,1162.0,436.0,10.0,8,11,1,0,0
1005.0,0.0,2.0,1.0,9.0,1.0,11.0,0.8,132.0,1.0,16.0,218.0,1123.0,939.0,11.0,4,8,1,1,1
1109.0,1.0,2.7,1.0,1.0,0.0,39.0,0.4,98.0,1.0,9.0,1391.0,1787.0,1524.0,15.0,10,7,1,1,1
1579.0,1.0,0.5,1.0,0.0,0.0,5.0,0.2,88.0,7.0,9.0,1358.0,1739.0,3532.0,17.0,11,12,0,0,1
1207.0,0.0,1.1,1.0,9.0,1.0,56.0,0.1,141.0,6.0,11.0,93.0,560.0,2293.0,12.0,4,19,1,1,0
1423.0,1.0,2.1,0.0,1.0,0.0,51.0,0.8,178.0,4.0,18.0,633.0,1371.0,3331.0,8.0,2,8,1,1,0
1883.0,1.0,2.6,0.0,2.0,1.0,50.0,0.1,169.0,5.0,3.0,313.0,561.0,427.0,17.0,8,10,1,0,1
1824.0,1.0,1.9,1.0,9.0,1.0,2.0,0.7,103.0,1.0,14.0,50.0,1105.0,3958.0,12.0,2,19,1,1,0
563.0,0.0,2.0,1.0,3.0,0.0,47.0,0.3,115.0,7.0,12.0,211.0,684.0,3012.0,14.0,4,15,1,0,0
1066.0,0.0,3.0,1.0,6.0,1.0,5.0,0.5,167.0,5.0,7.0,53.0,1504.0,1044.0,8.0,7,11,1,0,0
1268.0,0.0,2.7,0.0,4.0,0.0,53.0,0.5,141.0,1.0,9.0,682.0,862.0,2903.0,17.0,0,16,0,1,0
1074.0,1.0,1.2,0.0,0.0,0.0,45.0,0.8,193.0,3.0,6.0,1219.0,1904.0,874.0,11.0,7,2,1,0,0
1472.0,1.0,2.3,0.0,6.0,0.0,61.0,0.1,168.0,6.0,19.0,710.0,1052.0,2677.0,19.0,15,8,1,0,0
1552.0,1.0,2.2,0.0,6.0,1.0,13.0,0.2,123.0,6.0,9.0,269.0,1026.0,2403.0,9.0,2,9,1,1,1
1981.0,0.0,2.5,1.0,1.0,0.0,36.0,0.3,94.0,4.0,2.0,128.0,1457.0,395.0,9.0,7,15,0,1,0
768.0,1.0,0.5,1.0,1.0,0.0,45.0,0.1,175.0,4.0,16.0,1164.0,1376.0,3947.0,6.0,1,12,1,1,0
1671.0,0.0,0.6,,7.0,1.0,61.0,0.1,129.0,2.0,11.0,263.0,848.0,2336.0,10.0,4,7,1,0,0
1329.0,0.0,2.8,1.0,1.0,0.0,10.0,1.0,105.0,4.0,10.0,871.0,1293.0,337.0,5.0,4,5,0,1,0
1972.0,0.0,2.2,1.0,4.0,1.0,5.0,0.9,95.0,3.0,19.0,955.0,1781.0,625.0,10.0,1,10,1,1,1
1224.0,1.0,1.1,1.0,1.0,1.0,34.0,1.0,138.0,6.0,3.0,1545.0,1751.0,2992.0,13.0,5,3,1,1,0
1336.0,0.0,0.9,0.0,5.0,1.0,17.0,0.2,194.0,5.0,9.0,55.0,583.0,1869.0,13.0,1,16,1,1,1
1272.0,1.0,2.5,1.0,0.0,0.0,22.0,0.9,133.0,6.0,8.0,605.0,669.0,2235.0,19.0,4,4,1,0,0
1068.0,0.0,0.5,1.0,0.0,1.0,19.0,0.9,197.0,8.0,9.0,322.0,875.0,1209.0,19.0,12,12,1,1,0
1902.0,0.0,0.5,0.0,10.0,0.0,13.0,0.2,155.0,4.0,11.0,766.0,877.0,940.0,14.0,10,15,1,1,0
1644.0,0.0,2.8,0.0,0.0,1.0,44.0,1.0,137.0,8.0,0.0,358.0,,2360.0,7.0,4,19,1,0,0
1179.0,1.0,0.8,0.0,1.0,0.0,5.0,0.9,154.0,5.0,17.0,913.0,1429.0,543.0,8.0,7,18,0,0,1
1911.0,0.0,1.1,1.0,3.0,1.0,16.0,0.7,154.0,7.0,4.0,236.0,1568.0,3665.0,14.0,12,4,1,1,0
1588.0,1.0,2.5,0.0,12.0,1.0,4.0,0.3,148.0,5.0,20.0,146.0,822.0,2506.0,5.0,3,11,1,0,0
1857.0,1.0,1.4,1.0,0.0,0.0,14.0,0.9,102.0,2.0,0.0,1328.0,1743.0,1745.0,15.0,10,20,0,0,0
1356.0,0.0,2.8,0.0,0.0,0.0,29.0,0.5,198.0,6.0,0.0,1612.0,1983.0,3702.0,17.0,0,19,0,0,0
839.0,0.0,2.0,1.0,0.0,0.0,14.0,0.4,175.0,7.0,3.0,564.0,1391.0,3835.0,15.0,8,11,1,0,0
1106.0,1.0,1.9,0.0,4.0,0.0,54.0,0.7,107.0,3.0,9.0,614.0,1212.0,2674.0,9.0,3,9,1,0,1
,0.0,2.8,1.0,1.0,0.0,50.0,0.1,100.0,8.0,8.0,194.0,,763.0,17.0,1,17,0,1,1
559.0,1.0,0.5,0.0,10.0,0.0,11.0,0.4,82.0,5.0,14.0,541.0,823.0,2019.0,10.0,4,16,1,1,1
1507.0,1.0,0.9,1.0,0.0,1.0,42.0,0.4,123.0,5.0,0.0,682.0,888.0,1486.0,15.0,3,19,1,0,0
1876.0,0.0,2.8,1.0,3.0,1.0,56.0,0.4,182.0,3.0,4.0,235.0,585.0,3021.0,12.0,2,18,1,0,0
880.0,0.0,0.5,1.0,7.0,1.0,32.0,0.5,141.0,4.0,17.0,346.0,739.0,1141.0,19.0,17,20,1,1,1
742.0,1.0,2.3,0.0,0.0,0.0,21.0,0.7,104.0,8.0,1.0,875.0,925.0,331.0,11.0,8,7,1,0,0
1547.0,0.0,2.9,1.0,6.0,0.0,45.0,0.7,166.0,2.0,8.0,583.0,590.0,505.0,12.0,2,3,0,1,1
1526.0,0.0,2.1,0.0,1.0,1.0,23.0,0.2,117.0,7.0,8.0,718.0,751.0,2227.0,18.0,10,3,1,1,0
1164.0,1.0,2.6,1.0,0.0,0.0,61.0,0.3,88.0,1.0,6.0,1107.0,1656.0,,11.0,10,17,0,1,0
1945.0,0.0,1.6,1.0,0.0,1.0,57.0,0.3,195.0,4.0,1.0,743.0,1753.0,732.0,14.0,1,14,1,1,0
1784.0,1.0,1.4,0.0,1.0,1.0,3.0,0.3,125.0,5.0,5.0,1424.0,1672.0,2110.0,10.0,5,8,1,0,1
